trial,amplitude,chi2
350,1.3787947007360681,45.4237335237525
351,1.7314166679120127,42.28516288048897
352,1.446868939549571,31.742058127186237
353,1.5277573379693037,30.103169591659576
354,1.7744634011927447,45.45540334268563
355,1.7149977096690647,35.14871056657123
356,1.7209462419574382,48.16393328027229
357,1.5744293117658965,41.437324185493324
358,1.8281650618980567,38.841229810578824
359,1.702458422538099,53.994626544785035
360,1.2200052430770627,36.4031295254707
361,1.5152992852829492,56.299577818157836
362,1.8521189972643546,38.178809808917386
363,1.5950376210840176,39.502875707098596
364,1.6048889202631578,42.75904766772502
365,1.5581624767791098,44.83792615725915
366,1.4851875231115523,47.74176755208086
367,1.7978597806583458,45.62276193814561
368,1.6048889202631578,42.759047667725014
369,1.6382519378520675,45.43642560354331
370,1.5497418583589528,32.584859887591925
371,1.5452043076975182,43.662549427373335
372,1.820818815453542,43.11751897982947
373,1.6023945883946311,33.80619431031303
374,1.9615445344487337,37.56128910492831
375,1.6335890461657705,35.04942872365288
376,1.4427559240934755,44.16527941578191
377,1.6189311702374043,42.25198393497948
378,1.4374673347303255,40.84461130440389
379,1.6779199940557463,34.74556164177199
380,1.6191003620795716,37.04964095080254
381,1.4354670208324012,39.14224527051415
382,1.563840192788675,44.60465265549598
383,1.912696410189246,47.30392904709184
384,1.8470591256648552,45.77921740475148
385,1.3313506795731993,31.50501799458229
386,1.3449484989172258,52.48870951604651
387,1.8424541166113482,38.577691673433
388,1.864338016410075,42.28697063697096
389,1.605835469155785,52.79140124883776
390,1.2600746194347991,38.44246119808459
391,1.3998019201500713,37.88480700910386
392,1.6628220442939305,48.607141377280016
393,1.3668129495179522,50.13662942174521
394,1.4867000919599318,44.00557796230737
395,1.4771218723649158,47.45658440998785
396,1.4403937460503404,34.62610883972705
397,1.4314009161882086,46.56436513508859
398,1.7196852485536054,37.81193571801505
399,1.8500375122517072,47.37475904745647
400,1.5770671899861055,38.21490125869495
401,1.3345849108836298,26.669093303395023
402,1.7138369169632413,38.95632057589037
403,1.466816122500176,35.95894692984021
404,1.5374256073611263,59.27991876388457
405,1.819623430393204,32.3158114500351
406,1.5302793244667559,37.06486049055958
407,1.4347839065886738,51.753046432204385
408,1.7137242751664739,36.286829634209624
